GEOID,EvicTotal,HH_Median,Population,Male,Female,Median_age,White,Black,Asian,Hispanic,Households,Family_HH,Employed,Per_capita,Health_Ins,NoHealth_Ins,Pct_in_pov,Travel_time,HU_Occupied,HU_Vacant,Homeowner,Rental_vacancy,No_telepho,higherEduc,Urban_Rura
47157001200,70,46140,4540,2358,2182,35.2,1975,946,28,1767,1405,910,1870,16834,3697,791,16.7033,8,1405,241,0,7.702,71,894,Urban
47157001300,105,18369,3201,1388,1813,35,476,2178,208,486,1275,751,1127,16883,2399,802,53.5286,0,1275,421,0,10.992,8,738,Urban
47157001400,31,19309,1747,774,973,26.8,69,1591,12,95,608,369,694,11460,1409,338,37.3984,6,608,153,0,6.931,12,268,Urban
47157001500,36,31250,1691,729,962,33.9,225,1274,37,163,674,355,654,17647,1410,281,17.7465,13,674,247,0.988,16.177,11,542,Urban
47157001700,31,53639,3848,1746,2102,39.6,1905,1729,64,26,1752,887,2193,32948,3528,320,0.789177,10,1752,325,5.035,12.823,58,2367,Urban
47157001900,17,19773,1191,550,641,43.5,4,1179,0,8,460,256,451,14207,951,240,20.7031,0,460,279,8.897,19.355,13,190,Urban
47157002000,41,24286,1867,877,990,30.4,164,1575,9,58,684,365,590,12244,1618,236,35.3425,6,684,124,0,3.376,15,497,Urban
47157002100,33,23421,1443,593,850,33.7,188,1190,0,51,646,228,500,24567,1248,195,45.1754,0,646,109,0,3.381,49,512,Urban
47157002400,67,22241,2281,946,1335,33.7,109,1951,12,175,922,489,858,16225,1756,525,32.3108,0,922,299,5.882,14.645,17,652,Urban
47157002500,45,35317,2921,1332,1589,30.9,1524,1236,124,341,1114,523,1492,23759,2546,362,20.6501,0,1114,257,0,10.276,46,1450,Urban
47157002600,7,81061,2784,1452,1332,39.8,2318,322,50,82,1206,676,1729,45331,2440,319,6.06509,0,1206,163,6.183,7.666,7,1834,Urban
47157002700,37,45729,2030,1135,895,31.1,882,857,110,220,709,354,1170,23615,1601,429,20.0565,40,709,166,0,12.749,15,880,Urban
47157002800,98,16311,2818,1162,1656,39.1,493,2306,8,44,1326,552,834,15620,2199,619,49.2754,38,1326,211,4.406,2.706,90,759,Urban
47157002900,23,81391,4761,2145,2616,38.8,4505,172,27,53,2087,1235,2710,66647,4496,265,7.44939,11,2087,360,4.237,0,16,3291,Urban
47157003000,51,26403,3330,1473,1857,44.9,1866,1433,0,21,1387,699,1191,24735,2686,476,15.4506,0,1387,241,5.547,3.69,46,1616,Urban
47157001100,50,20694,2973,1454,1519,36.4,1394,1323,11,705,1094,648,1213,13094,2213,760,50,16,1094,377,3.767,7.826,49,456,Urban
47157003400,48,36250,2308,1211,1097,38,1510,598,41,96,1216,331,1417,31505,1863,445,6.34441,0,1216,220,0,8.157,46,1559,Urban
47157000100,23,76627,5806,2686,3120,31.1,3748,1114,822,177,3090,1031,3647,59338,5426,241,2.61882,0,3090,310,0,5.641,69,4039,Mixed
47157000300,9,20428,806,436,370,43.5,3,782,0,11,343,149,299,13920,702,104,26.1745,0,343,139,0,9.2,24,206,Urban
47157000400,51,25789,1494,693,801,36.9,63,1416,0,0,554,290,448,11276,1292,202,34.1379,39,554,235,9.091,7.467,11,246,Urban
47157010630,205,22065,4342,1790,2552,21.4,302,2822,0,1311,1374,919,1420,9577,3424,912,48.7486,0,1374,613,0,13.961,45,817,Urban
47157020635,4,66000,2431,1091,1340,43,2169,183,7,12,936,662,1223,37177,2264,167,3.77644,0,936,21,0,17.355,15,1153,Urban
47157011200,32,15378,1431,714,717,44.5,10,1421,0,6,689,240,426,13923,1198,233,56.25,41,689,199,4.902,1.786,9,396,Urban
47157011300,32,18098,1401,645,756,36.4,309,1024,48,24,744,162,527,18977,1065,294,35.1852,0,744,188,0,16.994,19,497,Urban
47157011400,155,11511,5356,3832,1524,29.1,867,4329,35,158,1445,532,892,10741,2708,273,60.5263,58,1445,253,0,5.202,31,1386,Urban
47157011600,50,14052,2710,1119,1591,25.4,62,2611,18,10,836,507,637,10863,2162,548,53.4517,0,836,224,9.184,0,0,624,Urban
47157011500,41,22450,2757,1471,1286,34.4,291,2466,0,205,1080,485,755,10972,2276,481,50.7216,0,1080,216,0,0,38,439,Urban
47157011800,79,40893,5894,3359,2535,30,3251,1812,100,1975,1946,1118,2710,18173,4246,1639,22.3614,46,1946,291,4.688,8.409,29,1657,Urban
47157022700,90,30687,7120,3675,3445,37.9,80,7024,0,5,2584,1687,2696,17183,6006,1114,17.131,41,2584,347,2.642,6.348,88,1890,Urban
47157007821,48,21523,5432,2520,2912,31.9,91,5292,17,27,2025,1285,1540,14249,4512,920,36.8872,0,2025,785,0,13.269,25,1402,Urban
47157007822,13,25296,1849,683,1166,41.6,114,1687,0,137,681,387,572,13390,1389,460,35.6589,0,681,79,0,0,0,409,Urban
47157007900,97,23426,5520,2636,2884,34,238,5227,0,0,2238,1355,2166,16172,4439,1081,28.4133,0,2238,474,0,9.756,85,1427,Urban
47157008000,106,30703,4817,2113,2704,34.8,1250,3425,0,0,2109,972,2189,20072,4428,389,13.5802,0,2109,314,0,3.926,124,2087,Urban
47157008110,105,20671,2654,1323,1331,30,309,1921,0,348,878,495,822,11904,2059,595,31.5152,23,878,555,0,22.644,29,533,Urban
47157021341,3,130156,5222,2624,2598,45.7,4539,103,448,79,1996,1604,2594,63892,5090,115,0.997506,0,1996,101,3.853,0,33,3606,Urban
47157021612,4,106412,4662,2301,2361,41.5,4445,67,43,11,1643,1421,2568,48531,4268,353,0,34,1643,0,0,0,17,2761,Urban
47157006600,18,35250,2259,1074,1185,32.4,1405,768,23,100,1153,333,1286,23998,1957,294,28.5285,0,1153,133,0,4.467,33,1224,Urban
47157008120,130,24912,4979,2396,2583,39.1,175,4717,0,79,1944,1240,1799,18769,4209,770,28.1452,0,1944,470,3.635,8.933,65,1664,Urban
47157008600,96,98065,5914,2745,3169,35.7,4872,616,87,454,2288,1503,3124,43868,5477,437,5.92149,30,2288,351,1.952,10.494,97,3448,Urban
47157008700,63,39375,4639,2334,2305,37.6,3265,451,287,1376,1955,1026,2336,21093,3718,921,14.1326,47,1955,207,1.503,2.956,8,1473,Urban
47157021620,20,51012,3211,1632,1579,39.6,1510,1638,50,51,1113,705,1443,31363,2956,255,14.1844,0,1113,73,0,4.212,26,1246,Mixed
47157021721,543,29363,5083,2331,2752,27.7,259,4395,54,299,1990,1113,2419,16053,4108,948,30.9075,0,1990,351,0,8.519,25,1663,Urban
47157008800,84,35825,6786,3184,3602,28.1,3728,1504,114,3338,1958,1440,2752,11630,4151,2635,33.75,77,1958,382,4.468,14.708,0,984,Urban
